銘柄コード,企業名,売上高,売上原価,売上総利益,営業利益,経常利益,特別損益収支,当期純利益,業種,市場
2406,アルテ　サロン　ホールディングス,"6,668","4,635","2,033",520,561,-165,190,サービス業,JQ
2411,ゲンダイエージェンシー,"16,819","12,468","4,351","1,573","1,583",-189,"1,175",サービス業,JQ
2412,ベネフィット・ワン,"14,959","9,059","5,900","2,471","2,512",-8,"1,447",サービス業,東2
2413,ソネット・エムスリー,"19,040","4,781","14,259","7,648","7,695",37,"4,492",サービス業,東1
2415,ヒューマンホールディングス,"48,048","35,010","13,038",985,"1,142",-439,554,サービス業,JQ
2417,ツヴァイ,"4,028","1,815","2,213",480,509,-57,244,サービス業,東2
2418,ベストブライダル,"44,494","28,955","15,539","6,519","6,610",-286,"3,270",サービス業,マザ
2419,日本ＥＲＩ,"11,289","7,794","3,495","1,319","1,310",0,702,サービス業,JQ
2425,ケアサービス,"6,581","5,386","1,195",363,352,-65,138,サービス業,HC
2427,アウトソーシング,"42,090","33,619","8,471","1,000","1,153",-159,641,サービス業,JQ
2428,ウェルネット,"7,885","5,052","2,833","1,026","1,123",665,"1,333",サービス業,JQ
